id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3qLZ866ZfaK0B0R5FIqXLG,0.55,0.765,7,-8.684,1,0.0287,4.76e-06,0.873,0.132,0.419,139.46,4
0NQobWhMQiDH9kBoTLZn88,0.275,0.933,2,-5.14,0,0.0879,6.86e-05,0.0457,0.206,0.164,100.47,4
1TYyoP8sdXQ039kghXQZuf,0.709,0.239,0,-21.361,1,0.0427,0.946,0.923,0.0826,0.364,110.0,4
2UkumiPYtlMwRhGG3k7ckZ,0.634,0.614,11,-11.002,0,0.0381,0.404,0.00864,0.12,0.421,146.108,4
5g1f2Vt8KVgPj8ZqmeNNO4,0.195,0.0832,9,-24.21,1,0.0405,0.673,0.875,0.0959,0.0329,119.945,4
7Hzt5M3AYK5QuSGYBQqPhB,0.542,0.872,9,-2.553,1,0.0402,0.0495,9.81e-05,0.0823,0.311,137.976,4
7wBWg3hTj2MUFe02GhMBkA,0.774,0.714,0,-5.009,0,0.0427,0.00388,0.000466,0.045,0.811,111.964,4
3ddOWDfZYwkG1uLfN7JNOg,0.359,0.802,5,-2.945,1,0.0528,0.00687,1.54e-05,0.398,0.433,152.481,4
49UDOG8DoBajXTJSTqfRMg,0.599,0.742,11,-6.886,1,0.0419,0.0488,0.32,0.0916,0.493,131.014,4
5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,4
4xFDOHF4coHW37MXTpZZN5,0.545,0.823,3,-7.866,0,0.0357,0.00624,0.000589,0.103,0.905,99.117,4
1SlXBA2DcPeBN9beZ9u4QX,0.801,0.637,0,-6.406,1,0.0565,0.169,3.75e-05,0.0925,0.769,77.012,4
35E2eKIEXXnP5q9L51iOAk,0.568,0.829,7,-7.066,1,0.0303,0.218,0.00418,0.0976,0.79,124.201,4
3b9xmyHRcolDEoaECLJ3OF,0.545,0.365,6,-8.97,1,0.0396,0.136,4.86e-06,0.201,0.233,150.125,4
1FfWGKtFccQUxGMXa5oMNr,0.488,0.775,4,-9.387,1,0.0567,0.0435,0.000443,0.181,0.826,81.004,4
3aauaXWRgwCMoykMbI0Jq1,0.717,0.577,8,-5.436,1,0.0491,0.708,0.00428,0.0899,0.235,104.927,3
6a88fc0zSrVWGPdoj445nJ,0.724,0.603,10,-6.261,0,0.0317,0.183,0.000469,0.0948,0.569,111.493,4
2LUVo82IKIpCuBNSaqF0G8,0.47,0.913,7,-10.196,1,0.0343,6.59e-05,0.267,0.222,0.977,130.425,4
3lNZ6D07GaS3CUPLz8QS81,0.356,0.899,3,-6.211,1,0.243,0.00755,0.0,0.28,0.456,140.82,4
271bNJw8s9aL0EqxBZY56P,0.761,0.797,11,-4.818,0,0.0645,0.123,1.03e-05,0.196,0.782,119.975,4
0pzyxIEZimzoJfwaBKdAdH,0.3,0.194,6,-19.867,1,0.038,0.949,0.95,0.139,0.0887,172.835,4
0GCENWl11MluqJbz1Dqm0i,0.289,0.841,8,-4.33,1,0.146,0.00582,0.00769,0.267,0.399,183.17,3
67LyilCFvsLvoC7zEBPcKK,0.616,0.824,6,-3.646,0,0.128,0.00658,0.0257,0.3,0.206,125.024,4
4rCrSoFxqRFmnHQyFGlkbA,0.688,0.737,6,-9.31,0,0.0678,0.0769,0.641,0.114,0.666,131.042,4
